Index,Movie,Reco
68,Iron Man,"['Iron Man 2', 'Captain America: Civil War', 'Sherlock Holmes', 'Sherlock Holmes: A Game of Shadows', 'Iron Man 3', 'Zodiac']"
69,Hugo,"['The Last Temptation of Christ', 'The Age of Innocence', 'Shine a Light', 'Kundun', 'The Last Waltz', 'Taxi Driver']"
70,Wild Wild West,"['Scooby-Doo', ""Charlie's Angels: Full Throttle"", 'Alvin and the Chipmunks', 'Bee Movie', 'The Break-Up', 'Cheaper by the Dozen']"
71,The Mummy: Tomb of the Dragon Emperor,"['Percy Jackson & the Olympians: The Lightning Thief', 'Monsters vs. Aliens', 'The League of Extraordinary Gentlemen', 'Scream 3', 'Mission to Mars', 'Identity Thief']"
72,Suicide Squad,"['Super 8', 'Brave', 'The Hangover Part II', 'Ghostbusters', 'Ghostbusters', 'Captain America: The First Avenger']"
73,Evan Almighty,"['Poseidon', 'The Amityville Horror', 'Firewall', 'Hostage', 'Quarantine', 'Armored']"
74,Edge of Tomorrow,"['Mission: Impossible - Rogue Nation', 'Mission: Impossible - Ghost Protocol', 'Jack Reacher', 'Jack Reacher', 'Mission: Impossible II', 'Eyes Wide Shut']"
75,Waterworld,"['Ali', 'Australia', 'Dune', 'The Messenger: The Story of Joan of Arc', 'The Abyss', 'The Hunt for Red October']"
76,G.I. Joe: The Rise of Cobra,"['Mamma Mia!', 'The Golden Compass', 'xXx', 'The Proposal', 'Hitch', 'Fantastic 4: Rise of the Silver Surfer']"
77,Inside Out,"['Deadpool', 'Star Trek Into Darkness', 'World War Z', 'Life of Pi', 'Black Swan', 'Argo']"
78,The Jungle Book,"['The Jungle Book', 'Lucy', 'Captain America: The Winter Soldier', 'Lost in Translation', 'Under the Skin', 'Her']"
79,Iron Man 2,"['Iron Man', 'Sherlock Holmes', 'Sherlock Holmes: A Game of Shadows', 'Captain America: Civil War', 'Zodiac', 'Tropic Thunder']"
80,Snow White and the Huntsman,"['The Hunger Games: Mockingjay - Part 2', 'Fast Five', 'The Twilight Saga: Breaking Dawn - Part 2', 'X-Men: Apocalypse', 'Thor: The Dark World', 'Crazy, Stupid, Love.']"
81,Maleficent,"['Salt', 'Kung Fu Panda', 'Wanted', 'Kung Fu Panda 2', 'Lara Croft: Tomb Raider', 'Sky Captain and the World of Tomorrow']"
82,Dawn of the Planet of the Apes,"['RoboCop', 'RoboCop', 'Red Riding Hood', 'Lost in Space', 'Criminal', 'The Unborn']"
83,The Lovers,"['The Lovers', 'Born of War', ""Animal Kingdom: Let's go Ape"", 'Dwegons and Leprechauns', 'Code of Honor', 'Four Single Fathers']"
84,47 Ronin,"['The Day the Earth Stood Still', 'The Day the Earth Stood Still', 'The Lake House', 'Speed', ""Something's Gotta Give"", ""The Devil's Advocate""]"
85,Captain America: The Winter Soldier,"['The Jungle Book', 'The Jungle Book', 'Lucy', 'Her', 'Lost in Translation', 'Under the Skin']"
86,Shrek Forever After,"['Monsters vs. Aliens', 'Rush Hour 2', 'Cars 2', 'Fantastic 4: Rise of the Silver Surfer', ""Madagascar 3: Europe's Most Wanted"", 'Austin Powers in Goldmember']"
87,Tomorrowland,"['Ant-Man', 'What Women Want', 'Three Kings', '27 Dresses', 'Jeff, Who Lives at Home', 'American Dreamz']"
88,Big Hero 6,"['Wreck-It Ralph', 'Brave', 'Super 8', 'Men in Black 3', 'Tangled', 'The Blind Side']"
89,Wreck-It Ralph,"['Big Hero 6', 'Men in Black 3', 'Tangled', 'Cinderella', 'Cinderella', 'Lone Survivor']"
90,The Polar Express,"['Cast Away', 'Forrest Gump', 'Back to the Future Part III', 'Back to the Future Part II', 'A Christmas Carol', 'Beowulf']"
91,Independence Day: Resurgence,"['The Dictator', 'After Earth', 'Battle Los Angeles', 'The Green Hornet', 'Hansel & Gretel: Witch Hunters', 'The Woman in Black']"
92,How to Train Your Dragon,"['How to Train Your Dragon 2', 'Olympus Has Fallen', 'Law Abiding Citizen', '300', 'P.S. I Love You', 'London Has Fallen']"
93,Terminator 3: Rise of the Machines,"['Quantum of Solace', 'The Village', 'The Day After Tomorrow', 'Hulk', 'Cars', 'Ratatouille']"
94,Guardians of the Galaxy,"['Deadpool', 'Skyfall', 'Skyfall', 'The Hunger Games: Catching Fire', 'World War Z', 'Man of Steel']"
95,Interstellar,"['Batman v Superman: Dawn of Justice', 'The Dark Knight Rises', 'Dallas Buyers Club', 'Mad Max: Fury Road', 'The Hunger Games', 'The Avengers']"
96,Inception,"['Django Unchained', 'Titanic', 'The Revenant', 'The Great Gatsby', 'The Great Gatsby', 'The Dark Knight Rises']"
97,Godzilla Resurgence,"['The Rocket: The Legend of Rocket Richard', ""Gangster's Paradise: Jerusalema"", 'Gandhi, My Father', 'Madadayo', 'Journey from the Fall', 'Pocketful of Miracles']"
98,The Hobbit: An Unexpected Journey,"['The Hobbit: The Desolation of Smaug', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'The Hobbit: The Battle of the Five Armies', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lovely Bones']"
99,The Fast and the Furious,"['The Fast and the Furious', 'Unbreakable', 'Austin Powers: The Spy Who Shagged Me', 'The Croods', 'Hancock', 'The Fifth Element']"
100,The Curious Case of Benjamin Button,"['Troy', 'Fury', 'The Tree of Life', 'Mr. & Mrs. Smith', 'Babel', 'Interview with the Vampire: The Vampire Chronicles']"
101,X-Men: First Class,"['Thor', 'Thor: The Dark World', 'Looper', 'American Hustle', 'Captain America: The First Avenger', 'The Amazing Spider-Man 2']"
102,The Hunger Games: Mockingjay - Part 2,"['Snow White and the Huntsman', 'Fast Five', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Hunger Games: Mockingjay - Part 1', 'The Twilight Saga: New Moon', 'X-Men: Apocalypse']"
103,The Sorcerer's Apprentice,"['Drive Angry', 'City of Angels', 'The Family Man', 'Bad Lieutenant: Port of Call New Orleans', 'Ghost Rider', 'Joe']"
104,Poseidon,"['Evan Almighty', 'Firewall', 'Hostage', 'The Amityville Horror', 'Joy', 'The Other Boleyn Girl']"
105,Alice Through the Looking Glass,"['The Tourist', 'The Tourist', 'Finding Neverland', ""What's Eating Gilbert Grape"", 'Transcendence', 'Tusk']"
106,Shrek the Third,"['Men in Black II', 'Jurassic Park III', 'Austin Powers in Goldmember', 'The Secret Life of Pets', 'My Big Fat Greek Wedding', 'Shrek Forever After']"
107,Warcraft,"['The Secret Life of Walter Mitty', 'Sicario', 'Snowpiercer', 'Lone Survivor', 'Insidious', 'Sinister']"
108,Terminator Genisys,"['Juno', 'Juno', 'Whiplash', 'Up in the Air', 'Burn After Reading', 'Megamind']"
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,"['The Princess and the Frog', 'Cloudy with a Chance of Meatballs', 'Hollow Man', 'Flightplan', 'Mr. Peabody & Sherman', 'Hot Tub Time Machine']"
110,Pearl Harbor,"['Transformers: Revenge of the Fallen', 'Transformers: Age of Extinction', 'Transformers', 'Transformers: Dark of the Moon', 'Bad Boys II', '13 Hours']"
111,Transformers,"['Transformers: Revenge of the Fallen', 'Transformers: Dark of the Moon', 'Transformers: Age of Extinction', 'Pearl Harbor', 'Bad Boys II', '13 Hours']"
112,Alexander,"['Nixon', 'JFK', 'Any Given Sunday', 'Savages', 'The Doors', 'Wall Street: Money Never Sleeps']"
113,Harry Potter and the Order of the Phoenix,"['Harry Potter and the Prisoner of Azkaban', 'Independence Day', 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Half-Blood Prince', 'I Am Legend', 'The Hangover']"
114,Harry Potter and the Goblet of Fire,"['Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Half-Blood Prince', ""Harry Potter and the Sorcerer's Stone"", 'Harry Potter and the Order of the Phoenix', 'Star Trek', 'Casino Royale']"
115,Hancock,"['The Day After Tomorrow', 'Cars', 'Men in Black', 'The Simpsons Movie', 'Unbreakable', 'The Fast and the Furious']"
116,I Am Legend,"['The Hangover', 'WALL·E', 'Up', 'Finding Nemo', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Prisoner of Azkaban']"
117,Charlie and the Chocolate Factory,"['Alice in Wonderland', 'Alice in Wonderland', 'Edward Scissorhands', 'Dark Shadows', 'Corpse Bride', 'Ed Wood']"
118,Ratatouille,"['The Incredibles', 'The Blind Side', 'Quantum of Solace', 'The Day After Tomorrow', 'The Exorcist', 'The Truman Show']"
119,Batman Begins,"['The Prestige', 'Terminator Salvation', 'The Fighter', 'American Psycho', 'Equilibrium', '3:10 to Yuma']"
120,Madagascar: Escape 2 Africa,"['Ice Age: Dawn of the Dinosaurs', 'Bee Movie', 'Liar Liar', 'Lilo & Stitch', 'The Break-Up', 'Rush Hour 3']"
121,Night at the Museum: Battle of the Smithsonian,"['Night at the Museum: Secret of the Tomb', 'Happy Feet', 'Mrs. Doubtfire', 'Patch Adams', 'What Dreams May Come', 'One Hour Photo']"
122,X-Men Origins: Wolverine,"['X-Men', 'Real Steel', 'X-Men 2', 'Chappie', 'The Fountain', 'The Wolverine']"
123,The Matrix Revolutions,"['The Incredibles', 'Signs', 'Terminator 3: Rise of the Machines', 'Independence Day', 'The Passion of the Christ', 'Quantum of Solace']"
124,Frozen,"['Up', 'WALL·E', 'Finding Nemo', 'Ted', 'Captain America: The First Avenger', 'I Am Legend']"
125,The Matrix Reloaded,"['Casino Royale', 'Casino Royale', ""Harry Potter and the Sorcerer's Stone"", 'Kill Bill: Vol. 1', 'Finding Nemo', 'WALL·E']"
126,Thor: The Dark World,"['Thor', 'X-Men: First Class', 'The Hunger Games: Mockingjay - Part 1', 'American Hustle', 'Snow White and the Huntsman', 'Looper']"
127,Mad Max: Fury Road,"['Gravity', 'The Hunger Games', 'Man of Steel', 'Guardians of the Galaxy', 'Gone Girl', 'Deadpool']"
128,Angels & Demons,"['Apollo 13', 'Splash', 'The Da Vinci Code', 'How the Grinch Stole Christmas', 'Cinderella Man', 'Ransom']"
129,Thor,"['Thor: The Dark World', 'X-Men: First Class', 'American Hustle', 'The Hunger Games: Mockingjay - Part 1', 'Ted', 'Looper']"
130,Bolt,"[""Bridget Jones's Diary"", 'Bridge to Terabithia', 'Resident Evil: Apocalypse', 'Epic', 'The Break-Up', '2 Fast 2 Furious']"
131,G-Force,"['The Haunted Mansion', 'Anaconda', 'Dr. Dolittle 2', 'Nutty Professor II: The Klumps', 'Legally Blonde 2: Red, White & Blonde', ""Gulliver's Travels""]"
132,Wrath of the Titans,"['Taken 3', 'Ted 2', 'The Haunting', 'A Walk Among the Tombstones', 'Non-Stop', 'Run All Night']"
133,Dark Shadows,"['Alice in Wonderland', 'Alice in Wonderland', 'Charlie and the Chocolate Factory', 'Corpse Bride', 'Edward Scissorhands', 'Ed Wood']"
134,Mission: Impossible - Rogue Nation,"['Mission: Impossible - Ghost Protocol', 'Jack Reacher', 'Jack Reacher', 'Edge of Tomorrow', 'Mission: Impossible II', 'Collateral']"
135,The Wolfman,"['The Rite', 'The Mask of Zorro', 'Bobby', 'Legends of the Fall', 'Hearts in Atlantis', 'Instinct']"
136,Bee Movie,"['The SpongeBob Movie: Sponge Out of Water', 'Dinosaur', 'Rush Hour 3', 'The Break-Up', 'Madagascar: Escape 2 Africa', 'Mr. Peabody & Sherman']"
137,Kung Fu Panda 2,"['Salt', 'Kung Fu Panda', 'Wanted', 'Lara Croft: Tomb Raider', 'Sky Captain and the World of Tomorrow', 'Girl, Interrupted']"
138,The Last Airbender,"['The Happening', 'Austin Powers in Goldmember', 'Eragon', 'After Earth', 'Jurassic Park III', 'Cars 2']"
139,Mission: Impossible III,"['Red Dragon', 'Moneyball', 'The Talented Mr. Ripley', 'Twister', 'Cold Mountain', 'Almost Famous']"
140,White House Down,"['G.I. Joe: Retaliation', '22 Jump Street', 'The Vow', 'Jupiter Ascending', '21 Jump Street', 'Dear John']"
141,Mars Needs Moms,"['Walking with Dinosaurs 3D', 'Did You Hear About the Morgans?', 'Supernova', 'The Transporter Refueled', 'Hot Pursuit', 'The Cave']"
142,Flushed Away,"['Someone Like You...', 'Kate & Leopold', 'Movie 43', 'Swordfish', 'Pan', 'Pan']"
143,Pan,"['Pan', 'Swordfish', 'Eddie the Eagle', 'Eddie the Eagle', 'Rise of the Guardians', 'Kate & Leopold']"
144,Mr. Peabody & Sherman,"['The Princess and the Frog', 'Cloudy with a Chance of Meatballs 2', 'Bee Movie', 'Bad Grandpa', ""Let's Be Cops"", 'Cloudy with a Chance of Meatballs']"
145,Troy,"['The Curious Case of Benjamin Button', 'Mr. & Mrs. Smith', 'Babel', 'The Tree of Life', 'Fury', 'The Assassination of Jesse James by the Coward Robert Ford']"
146,Madagascar 3: Europe's Most Wanted,"['Madagascar', 'Ice Age: Dawn of the Dinosaurs', 'Shrek Forever After', 'Home', 'Home', 'Home']"
147,Die Another Day,"['Hulk', 'The Perfect Storm', 'Cars', 'The Incredible Hulk', 'I, Robot', 'Silent Hill']"
148,Ghostbusters,"['Ghostbusters', 'Teenage Mutant Ninja Turtles', 'Teenage Mutant Ninja Turtles', '300: Rise of an Empire', 'Brave', 'Men in Black 3']"
149,Armageddon,"['Pearl Harbor', 'Transformers: Revenge of the Fallen', 'Transformers: Age of Extinction', 'Transformers', 'Bad Boys II', 'Transformers: Dark of the Moon']"
150,Men in Black II,"['My Big Fat Greek Wedding', 'Austin Powers in Goldmember', 'Shrek the Third', 'Jurassic Park III', 'Madagascar', 'The Happening']"
151,Beowulf,"['A Christmas Carol', 'The Walk', 'Back to the Future Part II', 'Back to the Future Part III', 'Back to the Future', 'Death Becomes Her']"
152,Kung Fu Panda 3,"['Megamind', 'Burn After Reading', 'Contraband', 'I Love You, Man', 'Thank You for Smoking', 'The Ladykillers']"
153,Mission: Impossible - Ghost Protocol,"['Mission: Impossible - Rogue Nation', 'Jack Reacher', 'Jack Reacher', 'Edge of Tomorrow', 'Mission: Impossible II', 'Eyes Wide Shut']"
154,Rise of the Guardians,"['The Fountain', 'Swordfish', 'Pan', 'Pan', 'Eddie the Eagle', 'Eddie the Eagle']"
155,Fun with Dick and Jane,"['Ride Along', 'The Time Machine', 'Rush Hour 3', 'Rio 2', 'Starsky & Hutch', 'Bringing Down the House']"
156,The Last Samurai,"['Eyes Wide Shut', 'Vanilla Sky', 'Collateral', 'Mission: Impossible', 'Jerry Maguire', 'A Few Good Men']"
157,Exodus: Gods and Kings,"['Exodus: Gods and Kings', 'Alien', 'Black Hawk Down', 'The Counselor', 'Robin Hood', 'A Good Year']"
158,Star Trek,"['The Amazing Spider-Man', 'Harry Potter and the Goblet of Fire', 'WALL·E', 'X-Men: First Class', 'Inglourious Basterds', ""Harry Potter and the Sorcerer's Stone""]"
159,Spider-Man,"['Spider-Man 3', 'Spider-Man 3', 'Spider-Man 2', 'For Love of the Game', 'Oz the Great and Powerful', 'Oz the Great and Powerful']"
160,How to Train Your Dragon 2,"['Olympus Has Fallen', 'How to Train Your Dragon', 'Law Abiding Citizen', 'London Has Fallen', 'P.S. I Love You', 'The Ugly Truth']"
161,Gods of Egypt,"['Lara Croft Tomb Raider: The Cradle of Life', 'London Has Fallen', 'The Bounty Hunter', 'The Ugly Truth', 'Coriolanus', 'Machine Gun Preacher']"
162,Stealth,"['Superman III', ""Dante's Peak"", 'How Do You Know', 'Miss Congeniality 2: Armed and Fabulous', 'Red Planet', 'Nine']"
163,Watchmen,"['Braveheart', '2001: A Space Odyssey', 'Terminator 2: Judgment Day', 'There Will Be Blood', 'Sin City', 'Aliens']"
164,Lethal Weapon 4,"['Lethal Weapon 3', 'The Omen', 'The Omen', 'Timeline', 'Ladyhawke', 'Superman']"
165,Hulk,"['Die Another Day', 'Cars', 'I, Robot', 'The Incredible Hulk', 'The Village', 'Silent Hill']"
166,G.I. Joe: Retaliation,"['Jupiter Ascending', 'White House Down', '22 Jump Street', 'The Vow', '21 Jump Street', 'Dear John']"
167,Sahara,"['U-571', 'How to Lose a Guy in 10 Days', ""Fool's Gold"", 'We Are Marshall', 'Frailty', 'The Wedding Planner']"
168,Final Fantasy: The Spirits Within,"['Monster House', 'Con Air', 'Mr. Deeds', 'Big Daddy', 'Hotel Transylvania 2', ""Charlotte's Web""]"
169,Captain America: The First Avenger,"['The Amazing Spider-Man 2', 'Ted', ""The King's Speech"", 'Suicide Squad', 'The Hangover', 'Pacific Rim']"
170,The World Is Not Enough,"['The Perfect Storm', 'xXx', 'Enchanted', 'Hitch', 'Marley & Me', 'Dreamgirls']"
171,Master and Commander: The Far Side of the World,"['Alien 3', 'Underworld', 'Enemy at the Gates', 'Starship Troopers', 'As Good as It Gets', 'Hellboy']"
